salt point, new york, 1
washington, north carolina, 1
carlsbad (*also see h.14.), california, 1
madison, georgia, 1
north dartmouth, massachusetts, 3
sawfmill, arizona, 1
deerfield, illinois, 11
san carlos, california, 14
cambridge, massachusetts, 173
middletown, new york, 4
new orleans, louisiana, 15
eden prairie, minnesota, 17
munster, indiana, 1
cooperstown, new york, 1
amesbury, massachusetts, 1
hasbrouck heights, new jersey, 2
north miami, florida, 2
waterloo, iowa, 6
san bernardino, california, 6
forest park, illinois, 1
new berlin, wisconsin, 3
green valley, arizona, 2
lenexa, kansas, 12
alliance, ohio, 2
moscow, idaho, 1
durant, mississippi, 2
burlington, north carolina, 1
murfreesboro, tennessee, 1
troy, michigan, 292
east greenbush, new york, 2
ocean springs, mississippi, 1
zion, illinois, 1
pinole, california, 1
dix hills, new york, 2
malone, new york, 1
east haven, connecticut, 1
minden, nevada, 2
bell, california, 4
collierville, tennessee, 14
taneytown, maryland, 2
wellesley hills, massachusetts, 5
essex junction, vermont, 2
springfield, missouri, 15
clive, iowa, 1
lumberton, new jersey, 1
passaic, new jersey, 2
milton, massachusetts, 1
bellerose, new york, 4
timonium, maryland, 5
terrell, texas, 2
hawthorne, california, 13
danville, pennsylvania, 5
glen spey, new york, 1
dededo, guam, 7
oak brook terrace, illinois, 1
mission, kansas, 1
niagara falls, new york, 1
ingleside, illinois, 1
north liberty, iowa, 1
nederland, texas, 1
broomfield, colorado, 10
gainesville, florida, 22
newark, delaware, 109
keego harbor, michigan, 19
saint charles, missouri, 1
bryan, texas, 2
elmwood park, new jersey, 4
farmington, connecticut, 8
natchez, mississippi, 1
burbank, california, 35
goodyear, arizona, 1
pembroke, massachusetts, 2
new york, new york, 1973
cherry hill, new jersey, 19
west trenton, new jersey, 1
west long branch, new jersey, 2
lancaster, kentucky, 1
san marcos, california, 5
san luis obispo, california, 6
burr ridge, illinois, 3
grace city, north dakota, 2
pleasanton, california, 68
alphraretta, georgia, 1
charlesston, south carolina, 1
islamorada, florida, 1
somerset, pennsylvania, 2
westlake, louisiana, 3
arcadia, california, 4
homewood, illinois, 2
turners falls, massachusetts, 1
wild rose, wisconsin, 3
bernardsville, new jersey, 3
elwood, indiana, 1
mora, minnesota, 1
monticello, new york, 1
whitehouse stiation, new jersey, 1
tucker, georgia, 7
camarillo, california, 9
cranford, new jersey, 7
ellenton, florida, 1
oregon, ohio, 1
university center, michigan, 2
lincolnwood, illinois, 7
harbor city, california, 4
irving, texas, 469
groton, massachusetts, 1
nocross, georgia, 2
chehalis, washington, 1
st.louis, missouri, 1
altamonte springs, florida, 1
dublin, ohio, 123
crossett, arkansas, 1
braintree, massachusetts, 35
warrensville hts, ohio, 1
duluth, minnesota, 5
sanford, north carolina, 2
paramount, california, 9
edwardsville, illinois, 3
spring arbor, michigan, 1
harrington park, new jersey, 1
silver springs, maryland, 1
clinton, new jersey, 2
ontario, california, 18
