[['job_info_work_city', 'job_info_work_state']]
[['ATLANTA', 'GEORGIA']]
[['LONG ISLAND CITY', 'NEW YORK']]
[['Santa Clara', 'CALIFORNIA']]
[['Coppell', 'TEXAS']]
[['Lawrenceville', 'GEORGIA']]
[['San Jose', 'CALIFORNIA']]
[['San Jose', 'CALIFORNIA']]
[['Houston', 'TEXAS']]
[['Irving', 'TEXAS']]
[['Redmond', 'WASHINGTON']]
[['Cranbury', 'NEW JERSEY']]
[['Redmond', 'WASHINGTON']]
[['JAMAICA', 'NEW YORK']]
[['New York', 'NEW YORK']]
[['Brooklyn', 'NEW YORK']]
[['Tucson', 'ARIZONA']]
[['San Jose', 'CALIFORNIA']]
[['Waukesha', 'WISCONSIN']]
[['Phoenix', 'ARIZONA']]
[['Lafayette', 'LOUISIANA']]
[['PHARR', 'TEXAS']]
[['Skowhegan', 'MAINE']]
[['Teaneck', 'NEW JERSEY']]
[['Teaneck', 'NEW JERSEY']]
[['Williamsville', 'NEW YORK']]
[['WARREN', 'NEW JERSEY']]
[['NEWARK', 'NEW JERSEY']]
[['WARREN', 'NEW JERSEY']]
[['E. NORWICH', 'NEW YORK']]
[['New York', 'NEW YORK']]
[['Boston Heights', 'OHIO']]
[['Redmond', 'WASHINGTON']]
[['Cinnaminson', 'NEW JERSEY']]
[['Ijamsville', 'MARYLAND']]
[['Watertown', 'MASSACHUSETTS']]
[['Phoenix', 'ARIZONA']]
[['San Francisco', 'CALIFORNIA']]
[['New York', 'NEW YORK']]
[['San Diego', 'CALIFORNIA']]
[['Houston', 'TEXAS']]
[['South San Francisco', 'CALIFORNIA']]
[['Livermore', 'CALIFORNIA']]
[['Valencia', 'CALIFORNIA']]
[['New York', 'NEW YORK']]
[['Farmington Hills', 'MICHIGAN']]
[['Buffalo Grove', 'ILLINOIS']]
[['Portland', 'MAINE']]
[['LEESPORT', 'PENNSYLVANIA']]
[['Baltimore', 'MARYLAND']]
[['Murray', 'UTAH']]
[['Philadelphia', 'PENNSYLVANIA']]
[['Sterling', 'VIRGINIA']]
[['Newtown Square', 'PENNSYLVANIA']]
[['Oakland', 'NEW JERSEY']]
[['Atlanta', 'GEORGIA']]
[['Potomac', 'MARYLAND']]
[['Coral Springs', 'FLORIDA']]
[['Sylmar', 'CALIFORNIA']]
[['Malvern', 'PENNSYLVANIA']]
[['Spring House', 'PENNSYLVANIA']]
[['Atlanta', 'GEORGIA']]
[['Santa Clara', 'CALIFORNIA']]
[['Malvern', 'PENNSYLVANIA']]
[['Rockville', 'MARYLAND']]
[['Rockville', 'MARYLAND']]
[['Middleboro', 'MASSACHUSETTS']]
[['Atlanta', 'GEORGIA']]
[['Kensington', 'MARYLAND']]
[['Santa Clara', 'CALIFORNIA']]
[['AMAGANSETT', 'NEW YORK']]
[['BROOKLYN', 'NEW YORK']]
[['Mountain View', 'CALIFORNIA']]
[['City of Industry', 'CALIFORNIA']]
[['Glade Hill', 'VIRGINIA']]
[['Redmond', 'WASHINGTON']]
[['Staten Island', 'NEW YORK']]
[['Mt. Freedom', 'NEW JERSEY']]
[['Long Island City', 'NEW YORK']]
[['Norcross', 'GEORGIA']]
[['New York', 'NEW YORK']]
[['Bentonville', 'ARKANSAS']]
[['TOMS RIVER,', 'NEW JERSEY']]
[['Orlando', 'FLORIDA']]
[['Gaithersburg', 'MARYLAND']]
[['Teaneck', 'NEW JERSEY']]
[['Germantown', 'MARYLAND']]
[['SEMINOLE', 'TEXAS']]
[['Arlington', 'VIRGINIA']]
[['Portsmouth', 'NEW HAMPSHIRE']]
[['New York', 'NEW YORK']]
[['Redmond', 'WASHINGTON']]
[['Ossining', 'NEW YORK']]
[['Westmont', 'ILLINOIS']]
[['Bloomington', 'ILLINOIS']]
[['S. Pasadena', 'CALIFORNIA']]
[['Redwood Shores', 'CALIFORNIA']]
[['Logansport', 'INDIANA']]
[['Grand Rapids', 'MICHIGAN']]
[['BROOKLYN', 'NEW YORK']]
[['Rochester Hills', 'MICHIGAN']]
[['CLINTON', 'MARYLAND']]
[['BERKELEY', 'CALIFORNIA']]
[['IRVINGTON', 'NEW JERSEY']]
[['San Jose', 'CALIFORNIA']]
[['Basking Ridge', 'NEW JERSEY']]
[['Herndon', 'VIRGINIA']]
[['Souderton', 'PENNSYLVANIA']]
