Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Automotive,Accepted,11101,BY MARVIC TRANSMISSION AUTO REPAIR; CORP,Helpers--Installation; Maintenance; and Repair Workers,ECUADOR
Other,Accepted,11432,PICKWICK SCHOOL,Preschool Teachers; Except Special Education,PHILIPPINES
Hospitality,Accepted,10024,GOOD ENOUGH TO EAT UPTOWN; LTD.,Bakers; Bread and Pastry,MEXICO
Other,Accepted,11213,CHABAD LUBAVITCH CENTER,Interpreters and Translators,GERMANY
Not Available,Accepted,10029,EL PASO,Not Available,MEXICO
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Financial Analysts,INDIA
IT,Accepted,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
IT,Accepted,10016,MPHASIS CORPORATION,Management Analysts,INDIA
Not Available,Accepted,11206,MELISSA'S BRIDAL SHOP,Not Available,ECUADOR
Not Available,Accepted,10309,A RICHMOND; INC,Not Available,MEXICO
Automotive,Accepted,11101,ALL LOCK & GLASS SERVICES INC,Retail Salespersons,ECUADOR
Hospitality,Accepted,10021,MESKOURIS BROS; INC,Cooks; Short Order,MEXICO
Finance,Accepted,10005,NYSE MARKET INC,Computer Software Engineers; Applications,INDIA
Advanced Mfg,Accepted,11206,QUALITY STRAPPING; INC.,Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,MEXICO
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Financial Analysts,TAIWAN
Construction,Accepted,10305,W.T. BUILDERS,Woodworkers; All Other,POLAND
Construction,Accepted,11372,MILLER GENERAL CONTRACTING LIMITED,Carpenters,MEXICO
Not Available,Accepted,10004,GOLDMAN; SACHS & CO.,Not Available,INDIA
Finance,Accepted,10282,GOLDMAN;SACHS & CO.,Financial Analysts,INDIA
Not Available,Accepted,10282,GOLDMAN;SACHS & CO.,Not Available,ISRAEL
Construction,Accepted,10302,MARGARELLA INDUSTRIALCONSTRUCTION; CORP,Cement Masons and Concrete Finishers,MEXICO
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,JORDAN
Educational Services,Accepted,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Special Education Teachers; Secondary School,CANADA
Finance,Accepted,10104,GLEACHER & COMPANY SECURITIES;INC.,Financial Analysts,INDIA
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer and Information Systems Managers,INDIA
Other,Accepted,10038,NYSARC; INC.;NYC CHAPTER,Budget Analysts,TRINIDAD AND TOBAGO
Other,Accepted,10033,JEANINE MARIE D'ARMIENTO,Childcare Workers,GUYANA
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Database Administrators,INDIA
Retail,Accepted,10001,MIYA SHOJI & INTERIORS INC,Commercial and Industrial Designers,JAPAN
