['Hospitality', 'Certified', '90049', 'BRENTWOOD SUBWAY INC,', 'Cooks, Fast Food', 'MEXICO']
['Aerospace', 'Certified', '90071', 'AECOM USA, INC.', 'Computer Software Engineers, Applications', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Vocational Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Vocational Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Vocational Education', 'PHILIPPINES']
['Advanced Mfg', 'Certified', '90040', 'AMERICAN RENOLIT CORPORATION,LA', 'Mechanical Engineers', 'BELGIUM']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Environmental Scientists and Specialists, Including Health', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Special Education Teachers, Middle School', 'CANADA']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Civil Engineers', 'MEXICO']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Electrical Engineers', 'IRELAND']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Architects, Except Landscape and Naval', 'SOUTH KOREA']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Environmental Engineers', 'TURKEY']
['Retail', 'Certified', '90015', 'MOSHE, INC.', 'Computer and Information Systems Managers', 'MALAYSIA']
['Other Economic Sector', 'Certified', '90015', 'HAPPY NATION INC.', 'Market Research Analysts', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90067', 'HAIG BARRETT INCORPORATED', 'Materials Engineers', 'NETHERLANDS']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Civil Engineers', 'MALAYSIA']
['Other Economic Sector', 'Certified', '90021', 'EDS & CO INC', 'Office Clerks, General', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90014', 'LOS ANGELES UNITED INVESTMENT COMPANY, LLC', 'Computer Systems Analysts', 'TURKEY']
['Advanced Mfg', 'Certified', '90021', "O' LA LA CORPORATION", 'Fashion Designers', 'SOUTH KOREA']
['Advanced Mfg', 'Certified', '90061', 'ALPHA SOURCE, INC.', 'Office Clerks, General', 'SOUTH KOREA']
['Aerospace', 'Certified', '90024', 'SILVUS TECHNOLOGIES, INC.', 'Electronics Engineers, Except Computer', 'INDIA']
['IT', 'Certified', '90017', 'HYPERMEDIA SYSTEMS, INC.', 'Computer Systems Analysts', 'JAPAN']
['Retail', 'Certified', '90021', 'ALL IN ONE TRADING INC.', 'Computer Software Engineers, Systems Software', 'INDIA']
['Finance', 'Certified', '90064', 'FIRST PACIFIC ADVISORS, LLC', 'Financial Analysts', 'FRANCE']
['Hospitality', 'Certified', '90025', 'TAKEE INTERNATIONAL INC.', 'Cooks, Restaurant', 'JAPAN']
['Other Economic Sector', 'Certified', '90010', 'CPL ADVERTISING INTERNATIONAL INC.', 'Fine Artists, Including Painters, Sculptors, and Illustrators', 'SOUTH KOREA']
['Finance', 'Certified', '90010', 'FARMERS GROUP, INC.', 'Computer and Information Systems Managers', 'INDIA']
['Other Economic Sector', 'Certified', '90015', 'NEBLON INC.DBA POLY FASHION', 'Purchasing Managers', 'SOUTH KOREA']
['', 'Certified', '90058', 'UNO COLTHING, INC.', 'Fabric and Apparel Patternmakers', 'BRAZIL']
['', 'Certified', '90061', 'PACIFIC SINTERED METALS, A DIV OF PSM INDUSTRIES', 'Materials Engineers', 'THAILAND']
['', 'Certified', '90024', 'RENTECH, INC.', 'Chemists', 'VENEZUELA']
['Educational Services', 'Certified', '90010', 'INTERNATIONAL AMERICAN UNIVERSITY, INC.', 'Geography Teachers, Postsecondary', 'SOUTH KOREA']
['Advanced Mfg', 'Certified', '90061', 'BLUE JADE ENTERPRISES,INC.', 'Procurement Clerks', 'SOUTH KOREA']
['Hospitality', 'Certified', '90020', 'FOUR SEASONS TOURS & TRAVEL, INC.', 'Reservation and Transportation Ticket Agents and Travel Clerks', 'SOUTH KOREA']
['IT', 'Certified', '90066', "O'NEIL DATA SYSTEMS LLC", 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '90068', 'BOOKLYN BURNS', 'Marketing Managers', 'BRAZIL']
['Hospitality', 'Certified', '90023', 'SUSHI MON JAPANESE RESTAURANT, INC.', 'Computer Operators', 'SOUTH KOREA']
['Hospitality', 'Certified', '90069', 'FOOD PLAY CORP., DBA BASIX CAFE', 'First-Line Supervisors of Food Preparation and Serving Workers', 'MEXICO']
['Other Economic Sector', 'Certified', '90094', 'BELKIN INTERNATIONAL, INC.', 'Software Developers, Systems Software', 'CHINA']
['Hospitality', 'Certified', '90012', 'STARLIGHT MAGNEX CORPORATION, DBA KUSHI SHABU', 'Cooks, Restaurant', 'JAPAN']
['IT', 'Certified', '90045', 'AURYN, INC', 'Software Developers, Applications', 'CANADA']
['', 'Certified', '90066', 'TMMK AMERICA, INC.', 'Chefs and Head Cooks', 'JAPAN']
