Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Construction,Certified,30340,ARCHITECTURAL STONE ACCENTS INC,First-Line Supervisors/Managers of Production and Operating Workers,BRAZIL
Automotive,Certified,11101,BY MARVIC TRANSMISSION AUTO REPAIR; CORP,Helpers--Installation; Maintenance; and Repair Workers,ECUADOR
Advanced Mfg,Certified,75019,STMICROELECTRONICS; INC.,Electronics Engineers; Except Computer,INDIA
Advanced Mfg,Certified,75019,STMICROELECTRONICS; INC.,Electronics Engineers; Except Computer,PHILIPPINES
Advanced Mfg,Certified,75019,STMICROELECTRONICS; INC.,Software Developers; Systems Software,INDIA
Advanced Mfg,Certified,95134,CISCO SYSTEMS; INC.,Computer Software Engineers; Systems Software,INDIA
Advanced Mfg,Certified,95134,CISCO SYSTEMS; INC.,Computer Software Engineers; Systems Software,INDIA
Advanced Mfg,Certified,94304,HEWLETT-PACKARD COMPANY,Operations Research Analysts,INDIA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Programmers,COLOMBIA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Specialists; All Other,INDIA
Transportation,Certified,08512,KOREA EXPRESS USA INC.,Logisticians,SOUTH KOREA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Software Engineers; Systems Software,INDIA
Other Economic Sector,Certified,11432,PICKWICK SCHOOL,Preschool Teachers; Except Special Education,PHILIPPINES
Hospitality,Certified,10024,GOOD ENOUGH TO EAT UPTOWN; LTD.,Bakers; Bread and Pastry,MEXICO
Other Economic Sector,Certified,11213,CHABAD LUBAVITCH CENTER,Interpreters and Translators,GERMANY
Other Economic Sector,Certified,85705,SUPER CLEANERS TUCSON; INC.,Bookkeeping; Accounting; and Auditing Clerks,SOUTH KOREA
IT,Certified,27709,IBM CORPORATION,Computer Software Engineers; Systems Software,GERMANY
Advanced Mfg,Certified,53188,GENERAL ELECTRIC CO. (GE HEALTHCARE),Engineering Managers,UNITED KINGDOM
Energy,Certified,85004,ARIZONA PUBLIC SERVICE,Computer Software Engineers; Applications,INDIA
Geospatial,Certified,70506,JOHN CHANCE LAND SURVEYS; INC.,Network Systems and Data Communications Analysts,INDIA
Not Available,Denied,,LAS MILPAS ADC INC.,,MEXICO
Health Care,Certified,04976,REDINGTON-FAIRVIEW GENERAL HOSPITAL,Anesthesiologists,UKRAINE
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
IT,Certified,14221,EMINENT TECHNOLOGY SOLUTIONS,Computer Software Engineers; Applications,INDIA
Construction,Certified,07059,DO-VAL FRAMING CORP.,Cement Masons and Concrete Finishers,EL SALVADOR
Not Available,Certified,07083,FLATS & CURBS; INC.,Stonemasons,ECUADOR
Construction,Certified,07059,DO-VAL FRAMING CORP.,Cement Masons and Concrete Finishers,EL SALVADOR
Not Available,Certified,11732,JOESAL CORP,Cooks; Restaurant,MEXICO
Not Available,Certified,10029,EL PASO,Food Preparation Workers,MEXICO
Hospitality,Certified,44236,UMIYA HOSPITALITY GROUP DBA COMFORT INN,Maintenance and Repair Workers; General,UNITED STATES OF AMERICA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Specialists; All Other,INDIA
Construction,Certified,08077,KR GENERAL CONTRACTORS LLC,Stonemasons,POLAND
Construction,Certified,21754,OLEARY ASPHALT INC.,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,MEXICO
Not Available,Certified,02472,ADINA R & D; INC.,Mechanical Engineers,CHINA
Finance,Certified,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Financial Analysts,INDIA
IT,Certified,94065,ORACLE AMERICA; INC.,Database Administrators,INDIA
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Computer Software Engineers; Systems Software,INDIA
Other Economic Sector,Certified,77036,NEXT-G COMMUNICATIONS; INC.,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,94115,BAY BREAD; LLC,Food Scientists and Technologists,FRANCE
Aerospace,Certified,94551,LIVERMORE SOFTWARE TECHNOLOGY CORP.,Mechanical Engineers,CHINA
Not Available,Certified,91355,ADVANCED BIONICS,Electronics Engineers; Except Computer,CHINA
IT,Certified,10016,MPHASIS CORPORATION,Management Analysts,INDIA
IT,Certified,48335,R2 TECHNOLOGIES LLC,Computer Systems Analysts,INDIA
IT,Certified,60089,ADVANCED KNOWLEDGE SYSTEM INC.,Software Developers; Applications,INDIA
Finance,Certified,04122,UNUMPROVIDENT,Software Developers; Systems Software,MEXICO
Advanced Mfg,Certified,19533,NOLL PALLET,Production Workers; All Other,MEXICO
Health Care,Certified,21224,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,Nuclear Medicine Technologists,NIGERIA
Advanced Mfg,Certified,05403,GE HEALTHCARE IITS USA CORP.,Computer Software Engineers; Applications,INDIA
Not Available,Certified,19103,DATA-CORE SYSTEMS; INC,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,20166,NEUSTAR,Network Systems and Data Communications Analysts,INDIA
IT,Certified,19073,SAP AMERICA; INC.,Computer Systems Analysts,INDIA
