['IT', 'Certified', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'CANADA']
['Aerospace', 'Certified', '48202', 'LAKESHORE ENGINEERING SERVICES, INC', 'Construction Managers', 'CANADA']
['Educational Services', 'Certified', '48202', 'WAYNE STATE UNIVERSITY', 'Biological Science Teachers, Postsecondary', 'CHINA']
['Retail', 'Certified', '48201', 'DETROIT MEDICAL PHARMACY', 'Pharmacists', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'COMPUWARE CORPORATION', 'Computer Software Engineers, Applications', 'INDIA']
['IT', 'Certified', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Computer Systems Analysts', 'INDIA']
['IT', 'Certified', '48202', 'COMPUTECH CORPORATION', 'Software Developers, Applications', 'INDIA']
['IT', 'Certified', '48202', 'COMPUTECH CORPORATION', 'Network and Computer Systems Administrators*', 'INDIA']
['Educational Services', 'Certified', '48202', 'WAYNE STATE UNIVERSITY', 'Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary', 'UNITED KINGDOM']
['Educational Services', 'Certified', '48202', 'WAYNE STATE UNIVERSITY', 'Biological Science Teachers, Postsecondary', 'ITALY']
['Educational Services', 'Certified', '48202', 'WAYNE STATE UNIVERSITY', 'Physics Teachers, Postsecondary', 'ISRAEL']
['Advanced Mfg', 'Certified', '48202', 'CARACO PHARMACEUTICAL LABORATORIES, LTD.', 'Chemists', 'INDIA']
['Advanced Mfg', 'Certified', '48202', 'CARACO PHARMACEUTICAL LABORATORIES, LTD.', 'Chemists', 'AUSTRALIA']
['Other Economic Sector', 'Certified', '48226', 'MILLER, CANFIELD, PADDOCK & STONE, PLC', 'Lawyers', 'CHINA']
['IT', 'Certified', '48243', 'URBAN SCIENCE', 'Computer and Information Systems Managers', 'UNITED KINGDOM']
['Health Care', 'Certified', '48201', 'UNIVERSITY PEDIATRICIANS', 'Physicians and Surgeons, All Other', 'INDIA']
['Educational Services', 'Certified', '48202', 'WAYNE STATE UNIVERSITY', 'Compliance Officers', 'INDIA']
['Finance', 'Certified', '48226', 'BLUE CROSS BLUE SHIELD OF MICHIGAN', 'Marketing Managers', 'INDIA']
['IT', 'Certified', '48226', 'STRATEGIC STAFFING SOLUTIONS LC', 'Database Administrators', 'INDIA']
