Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Other Economic Sector,Certified,77036,NEXT-G COMMUNICATIONS; INC.,Computer Systems Analysts,INDIA
Not Available,Denied,77075,SESAME HUT #2,Chefs and Head Cooks,SOUTH KOREA
Other Economic Sector,Certified,77002,CONTINENTAL AIRLINES; INC.,Financial Analysts,HONDURAS
Other Economic Sector,Certified,77024,UNIVERSE TECHNICAL TRANSLATION,Interpreters and Translators,AZERBAIJAN
Not Available,Denied,77028,GOLD STAR METALS,Purchasing Agents; Except Wholesale; Retail; and Farm Products,INDIA
IT,Certified,77042,SUNGARD CONSULTING SERVICES LLC,Computer Systems Analysts,INDIA
IT,Certified,77077,REVENTION; INC.,Computer Systems Analysts,INDIA
Hospitality,Certified,77015,TOMAS BAKERY,Cooks; Restaurant,MEXICO
Not Available,Certified,77010,HESS CORPORATION,Operations Research Analysts,INDIA
Other Economic Sector,Certified,77041,VECTOR GROUP; INC.,Mechanical Engineers,INDIA
IT,Certified,77046,RATIONAL SYSTEMS; LLC,Computer Software Engineers; Applications,VIETNAM
IT,Certified,77074,AMERICAN IT ASSOCIATES INC,Computer Software Engineers; Applications,INDIA
Educational Services,Certified,77058,UNIVERSITY OF HOUSTON-CLEAR LAKE,Criminal Justice and Law Enforcement Teachers; Postsecondary,SOUTH KOREA
Advanced Mfg,Certified,77023,C. E. SHEPHERD CO.;L.P.,Electrical Engineers,UNITED STATES OF AMERICA
Aerospace,Certified,77060,EQECAT; INC.,Atmospheric and Space Scientists,CHINA
Educational Services,Certified,77058,UNIVERSITY OF HOUSTON-CLEAR LAKE,Business Teachers; Postsecondary,CHINA
Aerospace,Certified,77081,FUGRO CONSULTANTS; INC.,Civil Engineers,CHINA
Energy,Certified,77079,CONOCOPHILLIPS COMPANY,Petroleum Engineers,INDIA
IT,Certified,77077,CAMELOT INTEGRATED SOLUTIONS INC,Computer Software Engineers; Applications,INDIA
Other Economic Sector,Certified,77056,BROKEN HILL PROPRIETARY (USA) INC.,Petroleum Engineers,TRINIDAD AND TOBAGO
Other Economic Sector,Certified,77056,BROKEN HILL PROPRIETARY (USA) INC.,Petroleum Engineers,TRINIDAD AND TOBAGO
IT,Certified,77042,SUNGARD CONSULTING SERVICES LLC,Computer Systems Analysts,INDIA
IT,Certified,77042,INFODAT INTERNATIONAL INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,77068,CYBERSOFT TECHNOLOGIES; INC,Computer Software Engineers; Applications,CANADA
Other Economic Sector,Certified,77056,BROKEN HILL PROPRIETARY (USA) INC.,Geoscientists; Except Hydrologists and Geographers,MEXICO
IT,Certified,77036,INDUS VALLEY SOFTWARE; INC,Computer Software Engineers; Applications,INDIA
Other Economic Sector,Certified,77074,STAR PROMOTION INC.,Secretaries; Except Legal; Medical; and Executive,INDIA
IT,Certified,77074,AMERICAN IT ASSOCIATES INC,Computer Software Engineers; Applications,INDIA
IT,Certified,77077,CAMELOT INTEGRATED SOLUTIONS INC,Computer Software Engineers; Applications,INDIA
Aerospace,Certified,77010,QUANTUM RESERVOIR IMPACT,Petroleum Engineers,CHINA
Retail,Certified,77020,EASTEEM ENTERPRISE INC. DBA SPEEDY MART # 1,First-Line Supervisors/Managers of Retail Sales Workers,PAKISTAN
Advanced Mfg,Certified,77055,JOHN & KIMBERLY INVESTMENT; INC.,Chefs and Head Cooks,SOUTH KOREA
Aerospace,Certified,77032,WOOD GROUP POWER SOLUTIONS INC.,Industrial Engineers,INDIA
Other Economic Sector,Certified,77002,WASTE MANAGEMENT RENEWABLE ENERGY; LLC,Mechanical Engineers,MEXICO
IT,Certified,77057,CYNOSURE TECHNOLOGIES,Computer Software Engineers; Applications,INDIA
Other Economic Sector,Certified,77055,THE YE DARM PRESBYTERIAN CHURCH,Clergy,SOUTH KOREA
IT,Certified,77077,CAMELOT INTEGRATED SOLUTIONS INC,Software Developers; Applications,INDIA
IT,Certified,77057,CYNOSURE TECHNOLOGIES,Computer Software Engineers; Applications,INDIA
IT,Certified,77042,INFODAT INTERNATIONAL INC.,Computer Software Engineers; Applications,INDIA
Aerospace,Certified,77042,FRIEDE & GOLDMAN; LTD.,Marine Engineers and Naval Architects,UKRAINE
Educational Services,Certified,77017,TEJANO CENTER FOR COMMUNITY CONCERNS,Elementary School Teachers; Except Special Education,MEXICO
IT,Certified,77041,S&R PROFESSIONALS; L.P.,Computer Software Engineers; Applications,INDIA
Energy,Certified,77042,PROSPECTOR SUPPORT SERVICES; INC.,Marketing Managers,UNITED KINGDOM
IT,Certified,77041,S&R PROFESSIONALS; L.P.,Software Developers; Applications,INDIA
Aerospace,Certified,77079,WORLEYPARSONS GROUP; INC.,Civil Engineers,INDIA
IT,Certified,77057,CYNOSURE TECHNOLOGIES,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77063,KNUST SBO,Machinists,MEXICO
Advanced Mfg,Certified,77063,KNUST SBO,Machinists,MEXICO
IT,Certified,77069,RAC INFOTECH INC,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77077,SBM ATLANTIA; INC.,Marine Engineers and Naval Architects,INDIA
Advanced Mfg,Certified,77077,SBM ATLANTIA; INC.,Mechanical Engineers,CHINA
Advanced Mfg,Certified,77077,SBM ATLANTIA; INC.,Marine Engineers and Naval Architects,CHINA
Aerospace,Certified,77077,SK E&C AMERICA,Civil Engineers,MEXICO
Aerospace,Certified,77056,CB&I INC,Chemical Engineers,INDIA
IT,Certified,77040,NET MATRIX SOLUTIONS,Software Developers; Applications,INDIA
Aerospace,Certified,77056,CB&I INC,Chemical Engineers,INDIA
Advanced Mfg,Certified,77077,SBM ATLANTIA; INC.,Marine Engineers and Naval Architects,CANADA
IT,Certified,77040,NET MATRIX SOLUTIONS,Computer Systems Analysts,INDIA
Aerospace,Certified,77056,BECHTEL OIL; GAS AND CHEMICALS; INC.,Electrical Engineers,KENYA
IT,Certified,77083,PREMIER TECHNOLOGIES; INC.,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77080,HMC INSTRUMENT & MACHINE WORKS; LTD.,Mechanical Engineers,SOUTH KOREA
Other Economic Sector,Certified,77056,PROLAMSA;INC,General and Operations Managers,MEXICO
IT,Certified,77041,S&R PROFESSIONALS; L.P.,Software Developers; Applications,INDIA
IT,Certified,77083,PREMIER TECHNOLOGIES; INC.,Software Developers; Applications,INDIA
Energy,Certified,77036,NATIONAL OILWELL VARCO; L.P.,Architectural and Engineering Managers,MEXICO
Geospatial,Certified,77042,GEOKINETICS INC.,Geoscientists; Except Hydrologists and Geographers,CANADA
Advanced Mfg,Certified,77027,GENOMMA LAB USA INC,Market Research Analysts and Marketing Specialists*,MEXICO
IT,Certified,77083,PREMIER TECHNOLOGIES; INC.,Computer Systems Analysts,INDIA
Health Care,Certified,77070,NAJMUDDIN KARIMJEE DBA LAKEWOOD FAMILY PRACTICE,Medical and Health Services Managers,PAKISTAN
Advanced Mfg,Certified,77040,EAGLEBURGMANN INDUSTRIES,Architectural and Engineering Managers,INDIA
Retail,Certified,77017,TEXAS BLUE STAR ENTERPRISES INC.,Accountants and Auditors,INDIA
Retail,Certified,77047,AYMAN INTERNATIONAL; INC. DBA EAGLE MART 2,First-Line Supervisors of Retail Sales Workers,PAKISTAN
IT,Certified,77070,SAI BUSINESS SOLUTIONS; LLC.,Computer Systems Analysts,INDIA
IT,Certified,77070,SAI BUSINESS SOLUTIONS; LLC.,Computer Systems Analysts,INDIA
Educational Services,Certified,77099,COSMOS FOUNDATION; INC.,Instructional Coordinators,TURKEY
IT,Certified,77070,SAI BUSINESS SOLUTIONS; LLC.,Software Developers; Applications,INDIA
IT,Certified,77070,SAI BUSINESS SOLUTIONS; LLC.,Software Developers; Applications,INDIA
Retail,Certified,77090,STOP N SAVE FOOD & GAS,Bookkeeping; Accounting; and Auditing Clerks,PAKISTAN
Aerospace,Certified,77060,AMERICAN BUREAU OF SHIPPING,Marine Engineers and Naval Architects,INDIA
IT,Certified,77077,CAMELOT INTEGRATED SOLUTIONS INC,Software Developers; Applications,INDIA
Aerospace,Certified,77056,BECHTEL OIL; GAS AND CHEMICALS; INC.,Cost Estimators,SOUTH KOREA
Aerospace,Certified,77019,BAKER HUGHES; INC.,Sales Managers,VENEZUELA
IT,Certified,77042,INFODAT INTERNATIONAL INC.,Software Developers; Applications,INDIA
Aerospace,Certified,77041,DEEPSEA TECHNOLOGIES; INC.,Architectural and Engineering Managers,INDIA
Aerospace,Certified,77070,CAPPO; INC. OF AMERICA,Architectural and Engineering Managers,MEXICO
Not Available,Certified,77002,SHELL OIL COMPANY,Petroleum Engineers,VENEZUELA
Other Economic Sector,Certified,77099,QUOC TRAN CORPORATION,Graphic Designers,VIETNAM
Aerospace,Certified,77074,AMANI ENGINEERING; INC.,Architectural and Engineering Managers,INDIA
Not Available,Certified,77054,BIOTEX INC,Biochemists and Biophysicists,POLAND
IT,Certified,77042,QUORUM BUSINESS SOLUTIONS; INC.,Software Developers; Applications,ARGENTINA
IT,Certified,77079,PRISERVE CONSULTING INC,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,77027,CAMERON INTERNATIONAL CORPORATION,Industrial Engineers,MEXICO
IT,Certified,77079,PRISERVE CONSULTING INC,Software Developers; Applications,INDIA
IT,Certified,77079,PRISERVE CONSULTING INC,Software Developers; Applications,INDIA
Other Economic Sector,Certified,77028,SHELDON CONTAINERS; INC.,Bus and Truck Mechanics and Diesel Engine Specialists,MEXICO
Energy,Certified,77036,NATIONAL OILWELL VARCO; L.P.,Computer Systems Analysts,CANADA
Energy,Certified,77095,GYRODATA; INC.,Mechanical Engineering Technicians,UNITED KINGDOM
Retail,Certified,77093,KARISHMA GROUP INC,Market Research Analysts and Marketing Specialists*,INDIA
Energy,Certified,77042,SCHLUMBERGER TECHNOLOGY CORPORATION,Geoscientists; Except Hydrologists and Geographers,CHINA
Advanced Mfg,Certified,77015,AMERIFORGE GROUP INC,Architectural and Engineering Managers,INDIA
Energy,Certified,77067,NOBLE ENERGY INC.,Mathematicians,NETHERLANDS
Aerospace,Certified,77042,DEEPSEA US INC.,Mechanical Engineers,INDIA
Educational Services,Certified,77031,RAINDROP FOUNDATION; INC.,Budget Analysts,TURKEY
IT,Certified,77057,INTERNATIONAL TECHNOLOGIES PRO LLC DBA IQ TECHPROS,Software Developers; Applications,INDIA
Not Available,Certified,77043,ELLINGTON & ASSOCIATES; INC.,Geoscientists; Except Hydrologists and Geographers,VENEZUELA
Energy,Certified,77002,TOTAL PETROCHEMICALS & REFINING USA; INC.,Materials Scientists,MEXICO
Health Care,Certified,77099,IBN SINA FOUNDATION,Medical and Health Services Managers,PAKISTAN
Advanced Mfg,Certified,77010,EQUISTAR CHEMICALS LP,Chemical Engineers,CANADA
IT,Certified,77077,OM CONSULTING INC DBA WISE MEN CONSULTANTS,Software Developers; Applications,INDIA
Educational Services,Certified,77081,ENERGIZED FOR EXCELLENCE ACADEMY; INC.,Secondary School Teachers; Except Special and Career/Technical Education,PHILIPPINES
Advanced Mfg,Certified,77041,WOOD GROUP LIGHT INDUSTRIAL TURBINES (USA); INC.,Mechanical Engineers,VENEZUELA
Other Economic Sector,Certified,77031,RAINDROP FOUNDATION; INC.,Instructional Coordinators,TURKEY
IT,Certified,77070,ADVENT GLOBAL SOLUTIONS;INC.,Computer and Information Systems Managers,INDIA
Advanced Mfg,Certified,77023,MERICHEM COMPANY,Sales Engineers,CANADA
IT,Certified,77070,ADVENT GLOBAL SOLUTIONS;INC.,Computer and Information Systems Managers,INDIA
Health Care,Certified,77003,CASTILLO DENTAL CLINIC,Medical and Health Services Managers,COLOMBIA
IT,Certified,77070,ADVENT GLOBAL SOLUTIONS;INC.,Computer and Information Systems Managers,INDIA
IT,Certified,77070,ADVENT GLOBAL SOLUTIONS;INC.,Computer and Information Systems Managers,INDIA
Energy,Certified,77041,SUBSEA 7 (US) L.L.C.,Logisticians,BRAZIL
IT,Certified,77070,ADVENT GLOBAL SOLUTIONS;INC.,Computer and Information Systems Managers,INDIA
Other Economic Sector,Certified,77024,ENTRION; INC.,Architectural and Engineering Managers,INDIA
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Mechanical Engineers,CANADA
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Mechanical Engineers,INDIA
Aerospace,Certified,77056,CB&I INC,Civil Engineers,COLOMBIA
Aerospace,Certified,77070,INTEGRITY STRUCTURAL CORP,Architectural and Civil Drafters,EL SALVADOR
Aerospace,Certified,77056,BECHTEL OIL; GAS AND CHEMICALS; INC.,Cost Estimators,INDIA
Aerospace,Certified,77060,AMERICAN BUREAU OF SHIPPING,Architectural and Engineering Managers,INDIA
Aerospace,Certified,77063,NILTRONIX CIRCUITS INC.,Electronics Engineers; Except Computer,INDIA
Advanced Mfg,Certified,77034,INSPECTORATE AMERICA CORPORATION,Chemists,INDIA
Finance,Certified,77057,PANNELL KERR FORSTER OF TEXAS; P. C.,Accountants and Auditors,INDIA
Not Available,Certified,77010,HESS CORPORATION,Architectural and Engineering Managers,CANADA
Construction,Certified,77041,TDK CONSTRUCTION COMPANY,Architects; Except Landscape and Naval,AUSTRALIA
Advanced Mfg,Certified,77041,ALLSTYLE COIL CO;L.P.,Mechanical Engineers,COLOMBIA
IT,Certified,77057,FLEXERA GLOBAL; INC,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Industrial Engineers,NIGERIA
IT,Certified,77042,SMARTBRIDGE LLC,Computer and Information Systems Managers,INDIA
Aerospace,Certified,77002,KBR TECHNICAL SERVICES; INC.,Marine Engineers and Naval Architects,SOUTH KOREA
Energy,Certified,77079,BP AMERICA INC.,Geoscientists; Except Hydrologists and Geographers,RUSSIA
IT,Certified,77057,FLEXERA GLOBAL; INC,Software Developers; Applications,INDIA
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Software Developers; Systems Software,INDIA
IT,Certified,77008,INFOSENSEGLOBAL INC,Database Administrators,INDIA
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,77079,FLOATEC; LLC DBA FLOATEC SOLUTIONS; LLC,Marine Engineers and Naval Architects,CHINA
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Computer Systems Analysts,INDIA
IT,Certified,77024,PARADIGM GEOPHYSICAL CORP,Software Developers; Systems Software,ISRAEL
Energy,Certified,77079,CONOCOPHILLIPS COMPANY,Geoscientists; Except Hydrologists and Geographers,CHINA
Aerospace,Certified,77079,2H OFFSHORE INC.,Marine Engineers and Naval Architects,CHINA
