Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
IT,Certified,89119,BALLY GAMING; INC.,Computer Software Engineers; Applications,INDIA
Hospitality,Certified,89119,NEVADA KANKO SERVICE INC.,Computer Support Specialists,JAPAN
IT,Certified,89119,CREDIT ONE BANK,Database Administrators,INDIA
Hospitality,Certified,89119,NEVADA KANKO SERVICE INC.,Travel Guides,JAPAN
Health Care,Certified,89117,GRACE OF MONACO LLC,Home Health Aides,PHILIPPINES
Advanced Mfg,Certified,89119,HANDPIECE SOLUTIONS; INC.,Market Research Analysts and Marketing Specialists*,JAPAN
Retail,Certified,89101,ZAPPOS IP; INC.,Database Administrators,INDIA
Hospitality,Certified,89147,RIKYU LLC,Chefs and Head Cooks,SOUTH KOREA
IT,Certified,89113,IGT; INC.,Software Developers; Applications,NEPAL
IT,Certified,89119,BALLY GAMING; INC.,Computer and Information Systems Managers,INDIA
IT,Certified,89128,HEALTHDATAINSIGHTS; INC.,Software Developers; Applications,INDIA
Health Care,Certified,89120,AFFINITY HOME HEALTH SERVICES LLC,Accountants and Auditors,PHILIPPINES
Other Economic Sector,Certified,89131,OTILIA MCLARRY 1998 TRUST,Executive Secretaries and Executive Administrative Assistants,MEXICO
IT,Certified,89119,BALLY GAMING; INC.,Computer Support Specialists,INDIA
Other Economic Sector,Certified,89119,STAFFING SPECIALISTS; INC.,Training and Development Specialists,PHILIPPINES
Other Economic Sector,Certified,89135,FERTITTA ENTERTAINMENT LLC,Financial Managers,CANADA
IT,Certified,89119,BALLY GAMING; INC.,Software Developers; Applications,UNITED STATES OF AMERICA
Health Care,Certified,89119,HEALTHCARE PARTNERS MEDICAL GROUP,Internists; General,INDIA
Finance,Certified,89147,BENSYM INC.- NEVADA,Network and Computer Systems Administrators*,PHILIPPINES
Hospitality,Certified,89109,MGM RESORTS INTERNATIONAL OPERATIONS; INC.,Database Administrators,INDIA
Hospitality,Certified,89119,CAESARS ENTERTAINMENT OPERATING COMPANY INC.,Computer and Information Systems Managers,INDIA
IT,Certified,89120,SERVICE REPAIR SOLUTIONS,Computer and Information Systems Managers,INDIA
Educational Services,Certified,89154,UNIVERSITY OF NEVADA; LAS VEGAS,Health Educators,TAIWAN
IT,Certified,89113,IGT; INC.,Software Developers; Applications,INDIA
Educational Services,Certified,89154,UNIVERSITY OF NEVADA; LAS VEGAS,Architecture Teachers; Postsecondary,CANADA
Aerospace,Certified,89113,TRAX INTERNATIONAL CORPORATION,Software Developers; Applications,INDIA
IT,Certified,89123,BMM NORTH AMERICA,Software Developers; Applications,INDIA
Not Available,Denied,89131,ROZANNE BENTT,Not Available,PERU
IT,Certified,89113,IGT; INC.,Software Developers; Applications,INDIA
Other Economic Sector,Certified,89103,SSA ARCHITECTURE; SMALL STUDIO ASSOCIATES; LLC,Construction Managers,PHILIPPINES
IT,Certified,89113,IGT; INC.,Computer Systems Analysts,INDIA
Not Available,Certified,89115,DREAMDEALERS USA; LLC.,Chief Executives,FRANCE
IT,Certified,89119,BALLY GAMING; INC.,Software Developers; Applications,INDIA
IT,Certified,89119,BALLY GAMING; INC.,Software Developers; Applications,INDIA
