Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Automotive,Certified,11101,BY MARVIC TRANSMISSION AUTO REPAIR; CORP,Helpers--Installation; Maintenance; and Repair Workers,ECUADOR
Other Economic Sector,Certified,11432,PICKWICK SCHOOL,Preschool Teachers; Except Special Education,PHILIPPINES
Hospitality,Certified,10024,GOOD ENOUGH TO EAT UPTOWN; LTD.,Bakers; Bread and Pastry,MEXICO
Other Economic Sector,Certified,11213,CHABAD LUBAVITCH CENTER,Interpreters and Translators,GERMANY
undefined,Certified,10029,EL PASO,Food Preparation Workers,MEXICO
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
IT,Certified,10016,MPHASIS CORPORATION,Management Analysts,INDIA
undefined,Certified,11206,MELISSAS BRIDAL SHOP,Retail Salespersons,ECUADOR
undefined,Certified,10309,A RICHMOND; INC,Cooks; Short Order,MEXICO
Automotive,Certified,11101,ALL LOCK & GLASS SERVICES INC,Retail Salespersons,ECUADOR
Hospitality,Certified,10021,MESKOURIS BROS; INC,Cooks; Short Order,MEXICO
Finance,Certified,10005,NYSE MARKET INC,Computer Software Engineers; Applications,INDIA
Advanced Mfg,Certified,11206,QUALITY STRAPPING; INC.,Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,MEXICO
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Financial Analysts,TAIWAN
Construction,Certified,10305,W.T. BUILDERS,Woodworkers; All Other,POLAND
Construction,Certified,11372,MILLER GENERAL CONTRACTING LIMITED,Carpenters,MEXICO
undefined,Certified,10004,GOLDMAN; SACHS & CO.,Computer Systems Analysts,INDIA
Finance,Certified,10282,GOLDMAN;SACHS & CO.,Financial Analysts,INDIA
undefined,Certified,10282,GOLDMAN;SACHS & CO.,Financial Analysts,ISRAEL
Construction,Certified,10302,MARGARELLA INDUSTRIALCONSTRUCTION; CORP,Cement Masons and Concrete Finishers,MEXICO
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,JORDAN
Educational Services,Certified,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Special Education Teachers; Secondary School,CANADA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer and Information Systems Managers,INDIA
Other Economic Sector,Certified,10038,NYSARC; INC.;NYC CHAPTER,Budget Analysts,TRINIDAD AND TOBAGO
Other Economic Sector,Certified,10033,JEANINE MARIE DARMIENTO,Childcare Workers,GUYANA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Database Administrators,INDIA
Retail,Certified,10001,MIYA SHOJI & INTERIORS INC,Commercial and Industrial Designers,JAPAN
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Hospitality,Certified,11361,DONOVANS OF BAYSIDE; LLC,Cooks; Restaurant,ECUADOR
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Hospitality,Certified,10012,GALATA; INC. D.B.A. I TRE MERLI RESTAURANT,Cooks; Restaurant,MEXICO
Finance,Certified,10167,SG AMERICAS SECURITIES; LLC,Financial Analysts,FRANCE
Other Economic Sector,Certified,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,INDIA
Hospitality,Certified,10036,326 RESTAURANT CORP. D/B/A JOE ALLEN RESTAURANT,Cooks; Restaurant,MEXICO
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Network and Computer Systems Administrators,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Network and Computer Systems Administrators*,INDIA
Finance,Certified,10167,SOCIETE GENERALE,Financial Analysts,FRANCE
undefined,Denied,11414,RUSSOS ON THE BAY,Chefs and Head Cooks,MEXICO
IT,Certified,11001,ADVANCED DATA SYSTEMS,Computer Systems Analysts,INDIA
Finance,Certified,10167,SG AMERICAS SECURITIES; LLC,Financial Analysts,FRANCE
Finance,Certified,10167,SG AMERICAS SECURITIES; LLC,Financial Managers,FRANCE
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Systems Software,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Systems Software,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Systems Software,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Network and Computer Systems Administrators,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Network and Computer Systems Administrators,INDIA
Educational Services,Certified,10011,THE NEW SCHOOL,Anthropology and Archeology Teachers; Postsecondary,GERMANY
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Systems Analysts,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,PHILIPPINES
Finance,Certified,10022,CITIGROUP GLOBAL MARKETS INC.,Operations Research Analysts,INDIA
Advanced Mfg,Certified,11218,AB GROCERY & HALAL MEAT INCORPORATION,Butchers and Meat Cutters,BANGLADESH
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Systems Software,INDIA
Health Care,Certified,11219,MAIMONIDES MEDICAL CENTER,Medical and Public Health Social Workers,TAIWAN
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10017,INTRALINKS; INC.,Computer Software Engineers; Applications,INDIA
Other Economic Sector,Certified,10018,MITCHELL/MARTIN INC,Computer Software Engineers; Applications,IRAN
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
Finance,Certified,10167,SG AMERICAS SECURITIES; LLC,Financial Managers,ITALY
Finance,Certified,10022,CITIBANK; N.A,Computer Systems Analysts,PAKISTAN
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10003,KNOA SOFTWARE; INC.,Computer Systems Analysts,INDIA
Finance,Certified,10282,GOLDMAN SACHS & CO.,Operations Research Analysts,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
Hospitality,Certified,11426,BELLEROSE SUBWAY INC.,First-Line Supervisors/Managers of Food Preparation and Serving Workers,MALAYSIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Systems Software,INDIA
Finance,Certified,10167,SG AMERICAS SECURITIES; LLC,Financial Analysts,FRANCE
Educational Services,Certified,10032,COLUMBIA UNIVERSITY,Education Administrators; Postsecondary,LITHUANIA
Aerospace,Certified,10018,MP ENGINEERS; P.C.,Civil Engineers,INDIA
Finance,Certified,10022,CITIBANK; N.A,Credit Analysts,PERU
Finance,Certified,10022,CITIBANK; N.A,Management Analysts,INDIA
Construction,Certified,10018,G-CNY GROUP LLC,Construction Managers,INDIA
Finance,Certified,10022,CITIBANK; N.A,Credit Analysts,UGANDA
Other Economic Sector,Certified,10022,BLOOMBERG L.P.,Software Developers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
Other Economic Sector,Certified,11211,DAVID POTTER & LIBBY POTTER,Maids and Housekeeping Cleaners,NEPAL
Other Economic Sector,Certified,10018,LADAS & PARRY LLP,Lawyers,UNITED KINGDOM
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
Health Care,Certified,10036,FOUNTAIN HOUSE; INC.,Mental Health and Substance Abuse Social Workers,UNITED KINGDOM
Other Economic Sector,Certified,10017,PRICEWATERHOUSECOOPERS,Operations Research Analysts,INDIA
Finance,Certified,10022,CITIBANK; N.A,Computer Systems Analysts,INDIA
IT,Certified,11375,SOFT TECH SOURCE-A DIV.OF RAMESH SARVA; CPA; P.C.,Accountants and Auditors,INDIA
Other Economic Sector,Certified,11412,VICTORY CHURCH OF JESUS CHRIST; INC.,Religious Workers; All Other,JAMAICA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10001,TECHNOFINA; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,10001,TECHNOFINA; INC.,Computer Software Engineers; Applications,INDIA
Other Economic Sector,Certified,11237,REIKO WIRELESS INC,Market Research Analysts and Marketing Specialists*,CHINA
Finance,Certified,10282,GOLDMAN SACHS & CO.,Mathematicians,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10016,MPHASIS CORPORATION,Marketing Managers,INDIA
IT,Certified,10016,MYERS-HOLUM; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Retail,Certified,11208,BOGOPA ENTERPRISES; INC.,Budget Analysts,SOUTH KOREA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Database Administrators,PAKISTAN
Other Economic Sector,Certified,10036,NHL ENTERPRISES; LP,Marketing Managers,CANADA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Systems Analysts,INDIA
Retail,Certified,11208,BOGOPA ENTERPRISES; INC.,Food Service Managers,SOUTH KOREA
Finance,Certified,10022,CITIBANK; N.A,Software Developers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Systems Analysts,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Applications,INDIA
Finance,Certified,10012,TWO SIGMA INVESTMENTS; LLC,Computer Software Engineers; Applications,CHINA
Other Economic Sector,Certified,11372,HIPPODROME SERVICES,Tailors; Dressmakers; and Custom Sewers,MEXICO
Other Economic Sector,Certified,11372,HIPPODROME SERVICES,Tailors; Dressmakers; and Custom Sewers,ECUADOR
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Software Developers; Systems Software,INDIA
Other Economic Sector,Certified,10018,MITCHELL/MARTIN INC,Software Developers; Applications,INDIA
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Finance,Certified,10022,MSD CAPITAL; LP,Financial Analysts,INDIA
IT,Certified,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer Software Engineers; Applications,INDIA
Finance,Certified,10282,GOLDMAN SACHS & CO.,Accountants and Auditors,INDIA
Finance,Certified,10167,SG AMERICAS SECURITIES; LLC,Software Developers; Applications,FRANCE
Finance,Certified,10282,GOLDMAN; SACHS & CO.,Financial Managers,ARGENTINA
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Retail,Certified,10075,1475 SECOND AVENUE BAGEL LLC,Bakers,POLAND
Finance,Certified,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer and Information Systems Managers,INDIA
Other Economic Sector,Certified,10018,MITCHELL/MARTIN INC,Computer Software Engineers; Applications,INDIA
Construction,Certified,11385,MCCONSTRUCTION CONSULTING INC,Cabinetmakers and Bench Carpenters,POLAND
Finance,Certified,10010,CREDIT SUISSE SECURITIES (USA) LLC,Database Administrators,INDIA
Finance,Certified,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Software Engineers; Systems Software,VIETNAM
undefined,Denied,10016,MPHASIS CORPORATION,Computer Systems Analysts,INDIA
Hospitality,Certified,10001,PINE TREE HOUSE INC. DBA KANG SUH RESTAURANT,Bookkeeping; Accounting; and Auditing Clerks,SOUTH KOREA
IT,Certified,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA
Finance,Certified,10018,HSBC SECURITIES (USA) INC.,Financial Analysts,VENEZUELA
IT,Certified,10001,WORKLIGHT INC,Marketing Managers,ISRAEL
Finance,Certified,10010,CREDIT SUISSE ASSET MANAGEMENT; LLC,Accountants and Auditors,INDIA
